10,1184672647493.000000
20,1184803385073.000000
30,1184805936065.000000
20,1184873747847.000000
30,1184875474841.000000
20,1184944012621.000000
30,1184946469613.000000
20,1184977012515.000000
50,1184978670510.000000
20,1184979833506.000000
30,1184979883506.000000
20,1185010067409.000000
50,1185010990406.000000
20,1185012115402.000000
50,1185012160402.000000
20,1185013239399.000000
30,1185013276399.000000
20,1185063253238.000000
30,1185070903213.000000
20,1185127868031.000000
30,1185129579025.000000
20,1185193190821.000000
30,1185194909815.000000
20,1185263231596.000000
30,1185265691588.000000
20,1185331719376.000000
30,1185333430370.000000
20,1185391217185.000000
30,1185392943179.000000
20,1185450877993.000000
30,1185452570988.000000
20,1185513237793.000000
30,1185515700785.000000
20,1185546286687.000000
50,1185547947682.000000
20,1185549089678.000000
30,1185549137678.000000
20,1185613236472.000000
30,1185614860467.000000
20,1185673216280.000000
30,1185674894274.000000
20,1185733189087.000000
30,1185735616080.000000
20,1185801747867.000000
30,1185803456862.000000
20,1185861606675.000000
30,1185863311670.000000
20,1185921188484.000000
30,1185922909479.000000
20,1185993301253.000000
30,1185995751245.000000
20,1186026334147.000000
50,1186027987142.000000
20,1186029106138.000000
30,1186029159138.000000
20,1186098422916.000000
30,1186100179910.000000
20,1186157960724.000000
30,1186159667719.000000
20,1186223265515.000000
30,1186224968510.000000
20,1186282876324.000000
30,1186285340316.000000
20,1186315916218.000000
50,1186317560212.000000
20,1186318723209.000000
30,1186318777209.000000
20,1186348890112.000000
50,1186349770109.000000
20,1186350929105.000000
50,1186350976105.000000
20,1186352060102.000000
30,1186352099102.000000
20,1186403206938.000000
30,1186410915913.000000
20,1186473315713.000000
30,1186475748705.000000
20,1186506361607.000000
50,1186508024602.000000
20,1186509164598.000000
30,1186509214598.000000
20,1186579052374.000000
30,1186580821368.000000
20,1186639410181.000000
30,1186641188175.000000
20,1186703232976.000000
30,1186704948970.000000
20,1186763188784.000000
30,1186765612776.000000
20,1186832200563.000000
30,1186833919557.000000
20,1186903179335.000000
30,1186904882330.000000
20,1186970758119.000000
30,1186973213111.000000
20,1187003795013.000000
50,1187005484007.000000
20,1187006643004.000000
30,1187007465001.000000
20,1187036777907.000000
50,1187036844907.000000
20,1187041515892.000000
30,1187042339889.000000
20,1187103237694.000000
30,1187104895689.000000
20,1187163357501.000000
30,1187165684494.000000
20,1187196332396.000000
50,1187197221393.000000
20,1187198362389.000000
30,1187198413389.000000
20,1187263202181.000000
30,1187264870176.000000
20,1187322755990.000000
30,1187324476985.000000
20,1187393218765.000000
30,1187394931759.000000
20,1187452779574.000000
30,1187455224566.000000
20,1187485806468.000000
50,1187487451463.000000
20,1187488602459.000000
30,1187488649459.000000
20,1187518782362.000000
50,1187519715359.000000
20,1187520838356.000000
50,1187520884356.000000
20,1187521965352.000000
30,1187522005352.000000
20,1187573204188.000000
30,1187580880164.000000
20,1187637755982.000000
30,1187639483976.000000
20,1187697552790.000000
30,1187700100782.000000
20,1187730547684.000000
50,1187732264679.000000
20,1187733432675.000000
30,1187734258673.000000
20,1187763547579.000000
50,1187764416576.000000
20,1187765589572.000000
50,1187765643572.000000
20,1187766733569.000000
50,1187766772568.000000
20,1187767861565.000000
30,1187767902565.000000
20,1187796552473.000000
50,1187796618473.000000
20,1187800783460.000000
50,1187801599457.000000
20,1187802741453.000000
30,1187802792453.000000
20,1187853195292.000000
30,1187854869286.000000
20,1187890098174.000000
30,1187890942171.000000
20,1187919188080.000000
30,1187920161077.000000
20,1187952215975.000000
50,1187953071972.000000
20,1187954214968.000000
30,1187954263968.000000
20,1187985203869.000000
50,1187986097866.000000
20,1187987241863.000000
50,1187987291862.000000
20,1187988429859.000000
30,1187988487859.000000
20,1188018233763.000000
30,1188020658756.000000
20,1188051197658.000000
30,1188051266658.000000
20,1188084201552.000000
30,1188085819547.000000
20,1188117208446.000000
30,1188118095444.000000
20,1188150192341.000000
30,1188151812336.000000
20,1188190094213.000000
30,1188190968210.000000
20,1188253258011.000000
30,1188255610003.000000
20,1188286270905.000000
50,1188287137902.000000
20,1188288279899.000000
30,1188288330899.000000
20,1188319289800.000000
30,1188320983794.000000
20,1188352274694.000000
30,1188353133691.000000
20,1188385289588.000000
30,1188386115586.000000
20,1188418263483.000000
30,1188419152480.000000
20,1188451251377.000000
30,1188452873372.000000
20,1188484262272.000000
30,1188485148269.000000
20,1188517256166.000000
30,1188518089163.000000
20,1188550254060.000000
30,1188551131058.000000
20,1188583258955.000000
30,1188584878950.000000
20,1188616262849.000000
30,1188617146847.000000
20,1188649267744.000000
30,1188650927738.000000
20,1188682259638.000000
30,1188683131635.000000
20,1188715287533.000000
30,1188716876528.000000
20,1188748287427.000000
30,1188749107424.000000
20,1188781259322.000000
30,1188782863317.000000
20,1188853213092.000000
30,1188854824086.000000
20,1188913215900.000000
30,1188914895894.000000
20,1188983267676.000000
30,1188985718668.000000
20,1189016247570.000000
50,1189018140564.000000
20,1189019290560.000000
30,1189019333560.000000
20,1189088869338.000000
30,1189090631332.000000
20,1189148681147.000000
30,1189151183139.000000
20,1189181669041.000000
50,1189182659038.000000
20,1189183808034.000000
30,1189184627032.000000
20,1189214712935.000000
30,1189215514933.000000
20,1189247681830.000000
30,1189248573827.000000
20,1189280668724.000000
50,1189281558722.000000
20,1189282715718.000000
30,1189282763718.000000
20,1189333231556.000000
30,1189334903551.000000
20,1189366224451.000000
50,1189367107448.000000
20,1189368274444.000000
30,1189368332444.000000
20,1189400092342.000000
30,1189401708337.000000
20,1189432234240.000000
30,1189433096237.000000
