10,3506967325287.000000
20,3507012378961.000000
30,3507012475960.000000
40,3507040415759.000000
20,3507040736756.000000
30,3507053613663.000000
40,3507059003624.000000
20,3507302143868.000000
30,3507302204868.000000
40,3507329063674.000000
20,3507356299477.000000
30,3507356355477.000000
40,3507390164233.000000
20,3507410516086.000000
30,3507410579085.000000
40,3507415920047.000000
20,3507480423581.000000
30,3507480485580.000000
40,3507520451292.000000
20,3507536133178.000000
30,3507540409148.000000
40,3507555980035.000000
20,3507600549713.000000
30,3507600612713.000000
40,3507605949674.000000
20,3507660445281.000000
30,3507660506280.000000
40,3507665841242.000000
20,3507740421703.000000
30,3507740484703.000000
40,3507745822664.000000
20,3507809741203.000000
30,3507809801202.000000
40,3507815239163.000000
20,3507850428909.000000
30,3507850488908.000000
40,3507855824870.000000
20,3507939233268.000000
30,3507939291267.000000
40,3507954322159.000000
20,3507970428042.000000
30,3507970490042.000000
40,3507975829003.000000
20,3508059781397.000000
30,3508059838397.000000
40,3508065274357.000000
20,3508130531886.000000
30,3508130595886.000000
40,3508135928847.000000
20,3508182733509.000000
30,3508182789509.000000
40,3508188123470.000000
20,3508250436020.000000
30,3508250497020.000000
40,3508255823981.000000
20,3508309195596.000000
30,3508309253596.000000
40,3508348057315.000000
20,3508369119163.000000
30,3508369180163.000000
40,3508374625124.000000
20,3508437292671.000000
30,3508437352671.000000
40,3508471144427.000000
20,3508499389223.000000
30,3508499445222.000000
40,3508504893183.000000
20,3508570453710.000000
30,3508570516709.000000
40,3508599730498.000000
20,3508630417277.000000
30,3508630480276.000000
40,3508635818238.000000
20,3508698985782.000000
30,3508699041781.000000
40,3508707419721.000000
20,3508759627344.000000
30,3508759689343.000000
40,3508810144979.000000
20,3508810451977.000000
30,3508819394912.000000
40,3508824912873.000000
20,3508879427479.000000
30,3508879483479.000000
40,3508915961215.000000
20,3508938716051.000000
30,3508938779051.000000
40,3508954363938.000000
20,3509007050558.000000
30,3509007112557.000000
40,3509026265419.000000
20,3509070500100.000000
30,3509070561099.000000
40,3509075902061.000000
20,3509124727708.000000
30,3509124784708.000000
40,3509169957382.000000
20,3509180407306.000000
30,3509189278242.000000
40,3509194859202.000000
20,3509250529800.000000
30,3509250590799.000000
40,3509255926761.000000
20,3509319358303.000000
30,3509319415303.000000
40,3509350148081.000000
20,3509369814939.000000
30,3509369876938.000000
40,3509375312899.000000
20,3509456867310.000000
30,3509456929310.000000
40,3509472421198.000000
20,3509510481923.000000
30,3509510541923.000000
40,3509515885884.000000
20,3509570426491.000000
30,3509570487490.000000
40,3509575827452.000000
20,3509610441202.000000
30,3509620572129.000000
40,3509625983090.000000
20,3509679960700.000000
30,3509698951563.000000
40,3509704476523.000000
20,3509750420191.000000
30,3509756800145.000000
40,3509774662016.000000
20,3509790768900.000000
30,3509830130616.000000
40,3509835544577.000000
20,3509880312254.000000
30,3509880823250.000000
40,3509886216211.000000
20,3509939515826.000000
30,3509958929686.000000
40,3509964533646.000000
20,3509990423459.000000
30,3509993278438.000000
40,3509998692399.000000
20,3510060427954.000000
30,3510060487953.000000
40,3510065827915.000000
20,3510128678461.000000
30,3510128740461.000000
40,3510144198349.000000
20,3510199132953.000000
30,3510199192952.000000
40,3510205547906.000000
20,3510250430582.000000
30,3510250491582.000000
40,3510255824543.000000
20,3510320429077.000000
30,3510320490077.000000
40,3510325824038.000000
20,3510380425644.000000
30,3510380486644.000000
40,3510385810605.000000
20,3510441219205.000000
30,3510441280205.000000
40,3510446620166.000000
20,3510519111643.000000
30,3510519170643.000000
40,3510525132600.000000
20,3510579543207.000000
30,3510579600207.000000
40,3510585042167.000000
20,3510648191712.000000
30,3510648254711.000000
40,3510654276668.000000
20,3510710536262.000000
30,3510710600261.000000
40,3510715935223.000000
20,3510769700835.000000
30,3510769757834.000000
40,3510779222766.000000
20,3510840579323.000000
30,3510840642323.000000
40,3510845981284.000000
20,3510899653897.000000
30,3510899711897.000000
40,3510905160857.000000
20,3510960442458.000000
30,3510960504458.000000
40,3510965841419.000000
20,3511021361019.000000
30,3511048953820.000000
40,3511065626699.000000
20,3511065914697.000000
30,3511087087544.000000
40,3511107361398.000000
20,3511107666396.000000
30,3511150662086.000000
40,3511156076047.000000
20,3511156363045.000000
30,3511228291525.000000
40,3511234415481.000000
20,3511234714479.000000
30,3511286651104.000000
40,3511302091993.000000
20,3511302395991.000000
30,3511339568722.000000
40,3511345069683.000000
20,3511345367681.000000
30,3511410105213.000000
40,3511415528174.000000
20,3511415814172.000000
30,3511452565907.000000
40,3511457972868.000000
20,3511497452583.000000
30,3511499258570.000000
40,3511504828530.000000
20,3511549577207.000000
30,3511570353057.000000
40,3511575748018.000000
20,3511606292798.000000
30,3511640149554.000000
40,3511645564515.000000
20,3511680428263.000000
30,3511702313105.000000
40,3511707726066.000000
20,3511746314788.000000
30,3511769171623.000000
40,3511774700583.000000
20,3511800400398.000000
30,3511818735265.000000
40,3511852864019.000000
20,3511865306929.000000
30,3511880140822.000000
40,3511885536783.000000
20,3511947432337.000000
30,3511947890333.000000
40,3511965400207.000000
20,3512000422954.000000
30,3512010672880.000000
40,3512016076841.000000
20,3512067791468.000000
30,3512080130379.000000
40,3512085535340.000000
20,3512122529073.000000
30,3512163037781.000000
40,3512168440742.000000
20,3512194747552.000000
30,3512200147513.000000
40,3512205564474.000000
20,3512270475006.000000
30,3512270536006.000000
40,3512307402740.000000
20,3512310428718.000000
30,3512320624644.000000
40,3512326030605.000000
20,3512390411141.000000
30,3512390473140.000000
40,3512395810102.000000
20,3512455553671.000000
30,3512455612670.000000
40,3512489419427.000000
20,3512519831207.000000
30,3512519894207.000000
40,3512525324168.000000
20,3512586750724.000000
30,3512586813724.000000
40,3512618025499.000000
20,3512637826356.000000
30,3512637883356.000000
40,3512653341244.000000
20,3512700803902.000000
30,3512700859901.000000
40,3512706191863.000000
20,3512752385530.000000
30,3512788447270.000000
40,3512798644196.000000
20,3512816754065.000000
30,3512829443974.000000
40,3512834945934.000000
20,3512900290463.000000
30,3512900351462.000000
40,3512905682424.000000
20,3512950427101.000000
30,3512950487101.000000
40,3512955815062.000000
20,3513020425596.000000
30,3513020486596.000000
40,3513061762298.000000
20,3513079754168.000000
30,3513079817168.000000
40,3513085368128.000000
20,3513150597657.000000
30,3513150659657.000000
40,3513155988618.000000
20,3513209294234.000000
30,3513209355234.000000
40,3513214805194.000000
20,3513281211715.000000
30,3513281268715.000000
40,3513319827437.000000
20,3513340404288.000000
30,3513340466288.000000
40,3513345951248.000000
20,3513408578797.000000
30,3513408640796.000000
40,3513450347495.000000
20,3513460441422.000000
30,3513469309358.000000
40,3513485650241.000000
20,3513542720829.000000
30,3513542778829.000000
40,3513548118790.000000
20,3513615732303.000000
30,3513615789302.000000
40,3513658513994.000000
20,3513660519980.000000
30,3513660580979.000000
40,3513665913941.000000
20,3513740420403.000000
30,3513740483403.000000
40,3513745819364.000000
20,3513802854953.000000
30,3513802916953.000000
40,3513850112612.000000
20,3513858487552.000000
30,3513860133540.000000
40,3513865529501.000000
20,3513890496321.000000
30,3513939781966.000000
40,3513945259926.000000
20,3513945551924.000000
30,3513998370543.000000
40,3514014172429.000000
20,3514014479427.000000
30,3514020214386.000000
40,3514025622347.000000
20,3514070422024.000000
30,3514088957890.000000
40,3514119400670.000000
20,3514119684668.000000
30,3514150142449.000000
40,3514155548410.000000
20,3514196425115.000000
30,3514196482114.000000
40,3514221962931.000000
20,3514230429870.000000
30,3514269045591.000000
40,3514298315380.000000
20,3514298624378.000000
30,3514340242078.000000
40,3514345668039.000000
20,3514364941900.000000
30,3514364997899.000000
40,3514419250508.000000
20,3514419547506.000000
30,3514460153213.000000
40,3514465576174.000000
20,3514486381024.000000
30,3514505420887.000000
40,3514551502554.000000
20,3514551780552.000000
30,3514566239448.000000
40,3514607643150.000000
20,3514607939147.000000
30,3514659173778.000000
40,3514687861571.000000
20,3514688167569.000000
30,3514695893513.000000
40,3514731588256.000000
20,3514731890254.000000
30,3514799085769.000000
40,3514836541499.000000
20,3514836849497.000000
30,3514858922338.000000
40,3514890259112.000000
20,3514890564110.000000
30,3514907007991.000000
40,3514932642806.000000
20,3514932947804.000000
30,3514998892329.000000
40,3515024011148.000000
20,3515024301146.000000
30,3515043628006.000000
40,3515049016967.000000
20,3515049303965.000000
30,3515148794248.000000
40,3515176186050.000000
20,3515176490048.000000
30,3515200159878.000000
40,3515205563839.000000
20,3515240471587.000000
30,3515270153373.000000
40,3515275576334.000000
20,3515275864332.000000
30,3515322636995.000000
40,3515328054955.000000
20,3515328341953.000000
30,3515373434628.000000
40,3515378825589.000000
20,3515379111587.000000
30,3515468063946.000000
40,3515498525726.000000
20,3515498820724.000000
30,3515530644495.000000
40,3515536063456.000000
20,3515536350454.000000
30,3515576613164.000000
40,3515620225849.000000
20,3515620533847.000000
30,3515662138547.000000
40,3515667550508.000000
20,3515667830506.000000
30,3515730193057.000000
40,3515776363724.000000
20,3515776656722.000000
30,3515800156552.000000
40,3515805569513.000000
20,3515805857511.000000
30,3515858317133.000000
40,3515876190004.000000
20,3515876488002.000000
30,3515930154615.000000
40,3515935567576.000000
20,3515935855574.000000
30,3516000152111.000000
40,3516012062025.000000
20,3516012367022.000000
30,3516073450582.000000
40,3516120199245.000000
20,3516120506243.000000
30,3516129435179.000000
40,3516150342028.000000
20,3516150654026.000000
30,3516199627673.000000
40,3516205110633.000000
20,3516230476450.000000
30,3516230538450.000000
40,3516235873411.000000
20,3516287159042.000000
30,3516287220041.000000
40,3516318698814.000000
20,3516350480585.000000
30,3516350543585.000000
40,3516355874546.000000
20,3516418315096.000000
30,3516418377096.000000
40,3516435875970.000000
20,3516492752560.000000
30,3516492812559.000000
40,3516498148521.000000
20,3516542819199.000000
30,3516542880198.000000
40,3516548221160.000000
20,3516590134858.000000
30,3516590195858.000000
40,3516595539819.000000
20,3516630944564.000000
30,3516690150137.000000
40,3516695559098.000000
